name,address,city,state,zip,county,latitude,longitude
Shorter College,604 Locust St,N Little Rock,AR,72114,Pulaski,34.759308,-92.26049
Citrus Heights Beauty College,7518 Baird Way,Citris Heights,CA,95610,Sacramento,38.713353,-121.289431
Joe Blasco Makeup Artist Training Center,1670 Hillhurst Avenue,Los Angeles,CA,90027,Los Angeles,34.101481,-118.28707
Waynes College of Beauty,1271 North Main Street,Salinas,CA,93906,Monterey,36.700631,-121.652662
Hult International Business School,1 Education Street,Cambridge,MA,02141,Middlesex,42.36993,-71.070737
Vogue College of Cosmetology,1601 St Michael's Dr Ste A,Santa Fe,NM,87505,Santa Fe,35.659789,-105.975299
Vogue College - McAllen,800 Fern Avenue,McAllen,TX,78501,Hidalgo,26.232656,-98.223022
Montana Bible College,3625 S 19th Ave,Bozeman,MT,59718,Gallatin,45.655524,-111.064143
KC's School of Hair Design,152 Highway 15 North,Pontotoc,MS,38863,Pontotoc,34.255561,-89.017408
Colton-Redlands-Yucaipa Regional Occupational Program,1214 Indiana Ct,Redlands,CA,92374,San Bernardino,34.06829,-117.204959
Cheveux School of Hair Design,4781-1 Gum Branch Road,Jacksonville,NC,28540,Onslow,34.831301,-77.461299
Watson School of Biological Sciences at Cold Spring Harbor Laboratory,1 Bungtown Rd,Cold Spring Harbor,NY,11724,Nassau,40.867183,-73.472293
American College of Healthcare Sciences,5940 SW Hood Ave,Portland,OR,97239,Multnomah,45.480384,-122.674533
Universal Technical Institute - Dallas Fort Worth,5151 Regents Blvd,Irving,TX,75063,Dallas,32.938104,-97.012679
International Culinary Center-California,700 West Hamilton Avenue,Campbell,CA,95008,Santa Clara,37.293625,-121.961475
Milan Institute-Las Vegas,710 South Tonopah,Las Vegas,NV,89106,Clark,36.161934,-115.170641
Virginia College-Savannah,"14045 Abercorn Street, Suite 1503",Savannah,GA,31419,Chatham,31.98358,-81.171154
Virginia College-Columbus,5601 Veterans Parkway,Columbus,GA,31904,Muscogee,32.524114,-84.963872
Donna's Academy of Hair Design,14454 North US Highway 169,Smithville,MO,64089,Clay,39.355842,-94.584916
New York School of Esthetics & Day Spa,14 North Broadway,Tarrytown,NY,10591,Westchester,41.076665,-73.857795
Panache Academy of Beauty,232 Water Street,Baraboo,WI,53913,Sauk,43.466987,-89.739243
Finger Lakes Health College of Nursing,196 North Street,Geneva,NY,14456,Ontario,42.876431,-76.98784
ASI Career Institute,5360 Black Horse Pike,Turnersville,NJ,08012,Gloucester,39.755753,-75.046217
Chicago School for Piano Technology (The),2041 West Carroll Avenue,Chicago,IL,60612,Cook,41.887443,-87.678394
Midwest Technical Institute,113 Market Ridge Drive,Ridgeland,MS,39157,Madison,32.402516,-90.178196
Christine Valmy International School of Esthetics & Cosmetology,285 Changebridge Road,Pine Brook,NJ,07058,Morris,40.868977,-74.358329
City College-Hollywood,6565 Taft Street,Hollywood,FL,33024,Broward,26.02527,-80.219967
Paul Mitchell The School-Arlington,"309 Curtis Mathes Way, #101",Arlington,TX,76018,Tarrant,32.680745,-97.107189
Rocky Mountain University of Health Professions,561 East 1860 South,Provo,UT,84606,Utah,40.209606,-111.649325
MediaTech Institute-Oceanside,302 Oceanside Boulevard,Oceanside,CA,92054,San Diego,33.183038,-117.370735
Christie's Education,"11 West 42nd Street, 8th Floor",New York,NY,10036,New York,40.754185,-73.981689
Prince Institute of Professional Studies,"1300 E. Woodfield Road, Ste 110",Schaumburg,IL,60173,Cook,42.043663,-88.046181
Palmetto Beauty School,2601 East Main Street,Spartanburg,SC,29307,Spartanburg,34.978432,-81.871071
Paul Mitchell the School-Fort Myers,9941 Interstate Commerce Drive,Fort Myers,FL,33907,Lee,26.495581,-81.792422
Paul Mitchell The School Raleigh,8551 Glenwood Avenue Suite 100,Raleigh,NC,27612,Wake,35.882566,-78.740471
New Community College at CUNY (The),50 West 40th Street,New York,NY,10018,New York,40.75303,-73.984055
Lil Lou's Barber College,4509 Broadway,Gary,IN,46409,Lake,41.536474,-87.335957
Bryan University,3215 LeMone Industrial Boulevard,Columbia,MO,65201,Boone,38.915735,-92.292597
Virginia College-Tulsa,5124 South Peoria Avenue,Tulsa,OK,74105,Tulsa,36.088311,-95.977211
Criswell College,4010 Gaston Avenue,Dallas,TX,75246,Dallas,32.793513,-96.77669
Virginia College-Knoxville,5003 North Broadway Street,Knoxville,TN,37918,Knox,36.02984,-83.930752
Durham Beauty Academy,1221 Sunset Boulevard,West Columbia,SC,29169,Lexington,33.99757,-81.080159
Academy of Couture Art,5700 Wilshire Blvd Ste 275,Los Angeles,CA,90036,Los Angeles,34.06186,-118.353184
Global Institute,Ave Luis Munoz Marin Esq Georgetti,Caguas,PR,00725,Caguas,18.2174,-66.033711
Regency Beauty Institute-Knoxville,8239 Kingston Pike,Knoxville,TN,37919,Knox,35.925289,-84.054376
Regency Beauty Institute-Fayetteville,4107 Steele Boulevard,Fayetteville,AR,72703,Washington,36.126365,-94.156136
Regency Beauty Institute-Lansing,"3415 West Saginaw Street, Suite E & F",Lansing,MI,48915,Ingham,42.738296,-84.571486
Regency Beauty Institute-Jacksonville-Orange Park,20 Blanding Boulevard,Orange Park,FL,32073,Clay,30.188414,-81.740428
Regency Beauty Institute-Crystal Lake,5657 Northwest Highway,Crystal Lake,IL,60014,McHenry,42.223351,-88.308224
Regency Beauty Institute-Manassas,11740 Sudley Manor Drive,Manassas,VA,20109,Prince William,38.785838,-77.519604
Regency Beauty Institute-Castleton,5939 East 82nd Street,Indianapolis,IN,46250,Marion,39.904655,-86.06594
Regency Beauty Institute-North Nashville,2293 Gallatin Pike North,Madison,TN,37115,Davidson,36.306358,-86.682799
Regency Beauty Institute-Round Rock,"2711 LaFrontera, Suite 110",Round Rock,TX,78681,Williamson,30.480457,-97.684117
Regency Beauty Institute-Merrillville,"2505 Southland Mall, Store 2495D",Merrillville,IN,46410,Lake,41.468534,-87.310089
Regency Beauty Institute-Roanoke,5002 Cross Road,Roanoke,VA,24012,Roanoke,37.317217,-79.956619
Regency Beauty Institute-Toledo,1554 Spring Meadows Drive,Holland,OH,43528,Lucas,41.614943,-83.698847
Regency Beauty Institute-SW Houston,"8201 South Gessner Drive, Suite A",Houston,TX,77036,Harris,29.690013,-95.532502
Everest College-Atlanta West,"2841 Greenbriar Parkway, SW",Atlanta,GA,30331,Fulton,33.68842,-84.491821
Broadview University-Boise,2750 East Gala Court,Meridian,ID,83642,Ada,43.589899,-116.360045
Advanced Institute of Hair Design,353 E. Campus Mall,Madison,WI,53715,Dane,43.072442,-89.398703
Paul Mitchell The School-Columbia,700 Gervais Street #D,Columbia,SC,29201,Richland,33.998218,-81.040607
Paul Mitchell The School-Charleston,"4952 Centre Pointe Drive, Suite 114",North Charleston,SC,29418,Charleston,32.874611,-80.022852
Everest College-Melrose Park,"1101 West North Avenue, Suite 1",Melrose Park,IL,60160,Cook,41.910526,-87.847839
Kenneth Shuler School of Cosmetology,3528-A Earl E. Morris Jr. Highway,Greenville,SC,29611,Anderson,34.791107,-82.484562
South University-Accelerated Graduate Programs,6600 Peachtree Dunwoody Road,Atlanta,GA,30328,Fulton,33.937413,-84.354883
South University-The Art Institute of Fort Worth,"7000 Calmont Avenue, Suite 150",Fort Worth,TX,76116,Tarrant,32.734886,-97.438289
South University-Novi,41555 Twelve Mile Road,Novi,MI,48377,Oakland,42.495505,-83.457357
Northwest College,"1020 Green Acres Road, # 15",Eugene,OR,97401,Lane,44.092049,-123.096946
Northwest College,8345 South West Nyberg Road,Tualatin,OR,97062,Washington,45.382946,-122.762464
Harrison College-Morrisville,2001 Carrington Mill Boulevard,Morrisville,NC,27560,Wake,35.859091,-78.8405
Trend Setters' Academy of Beauty Culture,8111 Preston Highway,Louisville,KY,40219,Jefferson,38.134695,-85.684194
National University College-Caguas,190 Ave. Gautier Ben?tez esquina Ave. Federico Degetau,Caguas,PR,00725,Caguas,18.212224,-66.050684
Beauty Schools of America,1011 5th Street,Miami Beach,FL,33139,Miami-Dade,25.774802,-80.138689
CET-Soledad,"930 Los Coches Drive, Suite 103",Soledad,CA,93960,Monterey,36.414544,-121.3166
MarJon School of Beauty Culture,144 Main Street,Lockport,NY,14094,Niagara,43.17039,-78.689042
Houston Training Schools-Southwest,7045 Southwest Freeway,Houston,TX,77074,Harris,29.707732,-95.50831
Vanguard College of Cosmetology-Metairie,3321 Hessmer Avenue,Metairie,LA,70002,Jefferson,30.00444,-90.163354
New England Tractor Trailer Training School of Massachusetts,1600 Osgood Street,North Andover,MA,01845,Essex,42.732042,-71.118272
Heritage College-Columbus,"150 Taylor Station, 2nd Floor",Columbus,OH,43213,Franklin,39.982748,-82.841635
Utah College of Massage Therapy-Vegas,"2381 East Windmill Lane, Suite 14",Las Vegas,NV,89123,Clark,36.041332,-115.120928
Utah College of Massage Therapy-Tempe,"1409 West Southern Avenue, Suite 6",Tempe,AZ,85282,Maricopa,33.391682,-111.962379
Utah College of Massage Therapy-Phoenix,"10000 North 31 Avenue, Metro Center Business Park, Bldg D, #100",Phoenix,AZ,85051,Maricopa,33.577266,-112.126573
Utah College of Massage Therapy-Westminster,8991 B Harlan Street Suite B,Westminster,CO,80031,Jefferson,39.859033,-105.065226
Utah College of Massage Therapy-Aurora,14107A East Exposition Avenue,Aurora,CO,80012,Arapahoe,39.704904,-104.825098
Sanford-Brown College-Portland,600 South West 10th Avenue,Portland,OR,97205,Multnomah,45.520334,-122.681749
Tint School of Makeup & Cosmetology-Grand Prairie,311-A East Highway 303,Grand Prairie,TX,75051,Dallas,32.708281,-97.000966
Dewey University,"Carr# 182 Km 0.2, Catalina Morales Street",Yabucoa,PR,00767,Yabucoa,18.070636,-65.896596
Dewey University,"State. Road #2 Km. 86.9, Bo. Pueblo",Hatillo,PR,00659,Hatillo,18.41062,-66.796532
Shear Learning Academy of Cosmetology,241 North Main Street,Decatur,IL,62523,Macon,39.843265,-88.956239
University of Cosmetology Arts & Sciences,724 East Expressway 83,La Joya,TX,78560,Hidalgo,26.246009,-98.467957
Preferred College of Nursing,"6551 Van Nuys Boulevard, Suite 200",Van Nuys,CA,91401,Los Angeles,34.189885,-118.449172
Bryant & Stratton College-Akron,190 Montrose West Avenue,Copley,OH,44321,Summit,41.128187,-81.655083
Annenberg School of Nursing,7150 Tampa Avenue,Reseda,CA,91335,Los Angeles,34.200129,-118.552723
American Medical Academy,12215 SW 112 Street,Miami,FL,33186,Miami-Dade,25.663377,-80.393587
Tooele Applied Technology College,66 West Vine Street,Tooele,UT,84074,Tooele,40.530885,-112.300433
Chamberlain College of Nursing-Georgia,"5775 Peachtree Dunwoody Road, NE, Suite A100",Atlanta,GA,30342,Fulton,33.911532,-84.350359
Chamberlain College of Nursing-Indiana,"9100 Keystone Crossing, Suite 600",Indianapolis,IN,46240,Marion,39.919016,-86.111221
Carrington College-Mesquite,3733 West Emporium Circle,Mesquite,TX,75150,Dallas,32.815899,-96.625985
Janus University,1601 Dove Street Suite 205,Newport Beach,CA,92660,Orange,33.66418,-117.866516
Universidad Internacional Iberoamericana,"Carr. 658, Km. 1.3, Barrio Arenalejos, S?ctor Palache",Arecibo,PR,00613,Arecibo,18.413123,-66.703599
Sessions College for Professional Design,"350 S. Mill Avenue, Suite B-104",Tempe,AZ,85281,Maricopa,33.426942,-111.940456
"Southeastern Technical Careers Institute, Inc.","3111 South Dixie Highway, Suite 138",West Palm Beach,FL,33405,Palm Beach,26.685445,-80.055407
Virginia College-Shreveport/Bossier City,2950 East Texas Street,Bossier City,LA,71111,Bossier,32.526653,-93.703797
Strayer University-Wisconsin,9000 West Chester Street,Milwaukee,WI,53214,Milwaukee,43.028827,-88.024559
Strayer University-Indiana,9025 N. River Road,Indianapolis,IN,46240,Marion,39.918179,-86.096313
Tulsa Welding School,1750 Southside Boulevard,Jacksonville,FL,32216,Duval,30.313564,-81.56007
Herzing University,3 Point Place,Madison,WI,53719,Dane,43.055358,-89.514893
Regency Beauty Institute-Hoover,1775 Montgomery Highway South,Hoover,AL,35244,Jefferson,33.379671,-86.802573
Regency Beauty Institute-San Antonio,"309 North West Loop 410, Suite 1",San Antonio,TX,78216,Bexar,29.523026,-98.49778
Regency Beauty Institute-Tampa,14360 North Dale Mabry Highway,Tampa,FL,33609,Hillsborough,28.077123,-82.508287
Regency Beauty Institute-Clearwater,25973 US Highway 19 North,Clearwater,FL,33763,Pinellas,28.00839,-82.728251
Regency Beauty Institute-Newport News,"12365 Hornsby Lane, Suite C",Newport News,VA,23609,Newport News,37.114487,-76.504433
Regency Beauty Institute-Lewisville,"2325 South Stemmons Freeway, Suite 404",Lewisville,TX,75067,Denton,33.007239,-96.975472
Regency Beauty Institute-Dallas,"13465 Inwood Road, Suite 185",Dallas,TX,75244,Dallas,32.929861,-96.822881
Regency Beauty Institute-Plano,1017 North Central Expressway,Plano,TX,75075,Collin,33.015833,-96.709807
Empire Beauty School-Virginia Beach,116 South Independence Boulevard,Virginia Beach,VA,23462,Virginia Beach,36.838586,-76.135527
Concorde Career Institute-San Antonio,4803 NW Loop 410,San Antonio,TX,78229,Bexar,29.490055,-98.582369
Sanford-Brown College-Columbus,2800 Corporate Exchange Parkway,Columbus,OH,43231,Franklin,40.103378,-82.942644
Ross Medical Education Center,1064 Suncrest Towne Centre Drive,Morgantown,WV,26505,Monongalia,39.653428,-79.942253
Ecotech Institute,1400 South Abilene Street,Aurora,CO,80012,Arapahoe,39.691287,-104.826865
Paul Mitchell the School-Ogden,2263 Grant Avenue,Ogden,UT,84401,Weber,41.225236,-111.974235
ATI Career Training Center-Lewisville,1310 South Stemmons Freeway,Lewisville,TX,75067,Denton,33.02849,-96.989927
CollegeAmerica Denver,1026 Maxwell Street,Colorado Springs,CO,80906,El Paso,38.774586,-104.781107
Everest Institute-Bensalem,3050 Tillman Drive,Bensalem,PA,19020,Bucks,40.114271,-74.958746
Johnson & Wales University-Online,8 Abbott Park Pl,Providence,RI,02903,Providence,41.820213,-71.413674
Golf Academy of America-Farmers Branch,"1861 Valley View Lane, Suite 100",Farmers Branch,TX,75234,Dallas,32.9228,-96.917191
Everest College-Fort Worth South,La Gran Plaza 4200 S FWYSte 4200,Ft Worth,TX,76115,Tarrant,32.686969,-97.325083
Utah College of Massage Therapy,1055 S. Sherman Street,Richardson,TX,75801,Dallas,32.937534,-96.740564
Everest College-Santa Ana,500 West Santa Ana Blvd,Santa Ana,CA,92701,Orange,33.747615,-117.873219
Miami Ad School-New York,10 Jay Street,Brooklyn,NY,11201,Kings,40.704431,-73.986638
Lacy Cosmetology School,2070 Sam Rittenberg Blvd.,Charleston,SC,29407,Charleston,32.797541,-80.032151
Dade Medical College,2601 South Military Trail,West Palm Beach,FL,33415,Palm Beach,26.638528,-80.115066
Dade Medical College,9550 Regency Square Boulevard,Jacksonville,FL,32225,Duval,30.32372,-81.551209
WestMed College,"3031 Tisch Way, 1st Floor, Ste 8PW",San Jose,CA,95128,Santa Clara,37.317499,-121.94767
Larry's Barber College,10456 S. Halsted Street,Chicago,IL,60628,Cook,41.703711,-87.643207
Lewistown Hospital School of Nursing,400 Highland Avenue,Lewistown,PA,17044,Mifflin,40.61848,-77.567312
Futura Career Institute,4512 West 12th Avenue,Hialeah,FL,33012,Miami-Dade,25.863099,-80.307231
Access Careers,25 Elm Place,Brooklyn,NY,11201,Kings,40.689431,-73.983834
The Hair Design School-Charlotte,4901-B N Tyron St,Charlotte,NC,28213,Mecklenburg,35.258559,-80.783745
Moreno Valley College,16130 Lasselle St,Moreno Valley,CA,92551,Riverside,33.887063,-117.202554
Flair Beauty College,18914 Soledad Canyon Road,Canyon Country,CA,91351,Los Angeles,34.41485,-118.465239
The Hair Design School-Durham,5106 N Roxboro Rd,Durham,NC,27704,Durham,36.068656,-78.90633
Hair Design Institute at Fifth Avenue-New York,"500 8th Ave., 8th Floor",New York,NY,10018,New York,40.752971,-73.992381
The Hair Design School-E Greensboro,2001 E Wendover Ave,Greensboro,NC,27405,Guilford,36.08751,-79.759502
