rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,city,state,zip,county,latitude,longitude,year
20,2,Stanford University,94.9,20,92.2,3,96.7,6,99.9,14,90.1,75,79.5,200,United States,"16,223",7.4,23%,44 : 56,Stanford University,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",False,False,Stanford,CA,94305,Santa Clara,37.432974,-122.175045,2021
30,3,Harvard University,94.8,30,94.4,1,98.8,3,99.4,22,46.8,421,77.7,218,United States,"21,261",9.3,25%,49 : 51,Harvard University,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",False,False,Cambridge,MA,02138,Middlesex,42.374172,-71.118234,2021
40,4,California Institute of Technology,94.5,40,92.5,2,96.9,5,97.0,49,92.7,67,83.6,158,United States,"2,238",6.3,33%,36 : 64,California Institute of Technology caltech,"Languages, Literature & Linguistics,Economics & Econometrics,Civil Engineering,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemical Engineering,Business & Management,Biological Sciences,History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering",False,False,Pasadena,CA,91125,Los Angeles,34.139181,-118.125567,2021
50,5,Massachusetts Institute of Technology,94.4,50,90.7,6,94.4,8,99.7,17,90.4,73,90.0,96,United States,"11,276",8.4,34%,39 : 61,Massachusetts Institute of Technology,"Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,History, Philosophy & Theology,Other Health,General Engineering,Biological Sciences,Computer Science,Architecture,Geology, Environmental, Earth & Marine Sciences,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Civil Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies)",False,False,Cambridge,MA,02139,Middlesex,42.360095,-71.092115,2021
80,8,Yale University,91.6,80,91.9,4,93.8,9,97.9,38,56.1,299,68.4,315,United States,"12,910",6.0,20%,50 : 50,Yale University,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",False,False,New Haven,CT,06520,New Haven,41.312308,-72.922511,2021
90,9,Princeton University,91.5,90,88.8,10,92.5,10,98.9,28,58.0,274,80.2,192,United States,"8,091",8.0,23%,46 : 54,Princeton University,"Languages, Literature & Linguistics,Biological Sciences,Other Health,Psychology,Sociology,Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Architecture,Agriculture & Forestry,General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,Princeton,NJ,08544,Mercer,40.347141,-74.657698,2021
120,12,Johns Hopkins University,89.2,120,81.6,18,91.8,12,97.7,40,93.4,64,73.9,256,United States,"16,432",4.4,27%,52 : 48,Johns Hopkins University,"Sociology,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Psychology,Biological Sciences,Art, Performing Arts & Design,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Economics & Econometrics,Chemical Engineering,Education,Languages, Literature & Linguistics,Chemistry,Other Health,Physics & Astronomy,Computer Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology",False,False,Baltimore,MD,21218,Baltimore,39.329808,-76.620723,2021
130,13,University of Pennsylvania,88.9,130,85.4,14,89.9,19,98.1,36,77.9,129,66.3,338,United States,"20,771",6.4,21%,52 : 48,University of Pennsylvania,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",False,False,Philadelphia,PA,19104,Philadelphia,39.951002,-75.193618,2021
190,19,Cornell University,85.3,190,78.8,23,86.7,23,97.2,46,36.3,948,73.7,258,United States,"23,016",10.2,25%,50 : 50,Cornell University,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",False,False,Ithaca,NY,14853,Tompkins,42.448713,-76.476535,2021
200,=20,Duke University,84.8,200,80.7,19,80.4,31,96.9,50,99.7,24,65.5,348,United States,"15,489",4.3,21%,49 : 51,Duke University,"Medicine & Dentistry,Psychology,Other Health,Biological Sciences,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance,General Engineering,Sociology,Business & Management,Civil Engineering,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law",False,False,Durham,NC,27708,Durham,36.002344,-78.938597,2021
220,22,University of Michigan-Ann Arbor,84.0,220,79.0,22,86.9,22,95.4,72,47.2,416,59.6,430,United States,"43,873",8.3,17%,50 : 50,University of Michigan-Ann Arbor,"Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Psychology,Sociology,Law,Computer Science,Chemical Engineering,Other Health,Archaeology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Medicine & Dentistry,Education,Accounting & Finance,Biological Sciences,Sport Science,Business & Management,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences",False,False,Ann Arbor,MI,48109,Washtenaw,42.27803,-83.736564,2021
240,24,Northwestern University,83.6,240,74.9,29,83.6,24,98.2,35,69.9,177,64.5,360,United States,"18,529",13.0,19%,49 : 51,Northwestern University,"Computer Science,Geography,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Civil Engineering,Sociology,Education,General Engineering,History, Philosophy & Theology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Other Health",False,False,Evanston,IL,60208,Cook,42.058377,-87.673653,2021
260,26,New York University,81.9,260,76.1,26,80.6,28,96.0,64,37.3,854,69.6,306,United States,"44,474",8.8,34%,57 : 43,New York University,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Law,Art, Performing Arts & Design,Business & Management,Chemical Engineering,General Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Psychology,Civil Engineering,Chemistry,History, Philosophy & Theology",False,False,New York,NY,10012,New York,40.729452,-73.997264,2021
280,28,Carnegie Mellon University,81.0,280,65.1,43,81.3,27,98.9,27,53.3,332,80.5,186,United States,"14,058",13.7,48%,43 : 57,Carnegie Mellon University,"Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Chemistry,Physics & Astronomy,Psychology,Architecture",False,False,Pittsburgh,PA,15213,Allegheny,40.443598,-79.943485,2021
480,48,University of Illinois at Urbana-Champaign,72.3,480,62.5,51,79.1,33,81.3,250,49.5,390,55.1,505,United States,"45,980",17.8,24%,48 : 52,University of Illinois at Urbana-Champaign,"Art, Performing Arts & Design,Computer Science,Archaeology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Business & Management,Geography,History, Philosophy & Theology,Other Health,Sport Science,Psychology,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Civil Engineering,Veterinary Science,Biological Sciences,Physics & Astronomy",False,False,Champaign,IL,61820,Champaign,40.108312,-88.228482,2021
490,49,University of Wisconsin-Madison,71.4,490,68.2,35,71.4,50,82.5,236,45.0,472,48.4,621,United States,"39,451",9.8,13%,,University of Wisconsin-Madison,"Sport Science,Geography,Civil Engineering,Computer Science,Psychology,Physics & Astronomy,Medicine & Dentistry,Agriculture & Forestry,Accounting & Finance,Law,Art, Performing Arts & Design,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,History, Philosophy & Theology,Veterinary Science,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Chemistry,Architecture,Chemical Engineering,Communication & Media Studies,Electrical & Electronic Engineering",False,False,Madison,WI,53706,Dane,43.073858,-89.405356,2021
500,50,Washington University in St Louis,71.1,500,61.2,54,58.7,87,99.0,26,40.4,657,59.1,439,United States,"13,693",7.5,21%,,Washington University in St Louis,"General Engineering,Languages, Literature & Linguistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Biological Sciences,Chemistry,Education,Architecture,Communication & Media Studies,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Sociology,Chemical Engineering,Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Other Health,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy",False,False,Saint Louis,MO,63130,St. Louis,38.648125,-90.311639,2021
530,53,University of Southern California,70.4,530,63.8,48,58.4,88,93.1,101,39.2,714,64.9,357,United States,"41,953",13.0,23%,49 : 51,University of Southern California,"Accounting & Finance,General Engineering,Biological Sciences,Computer Science,Law,Geography,Other Health,Physics & Astronomy,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Economics & Econometrics,Agriculture & Forestry,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),Archaeology,Medicine & Dentistry,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Sociology,Psychology",False,False,Los Angeles,CA,90089,Los Angeles,34.021058,-118.283858,2021
540,=54,Boston University,70.3,540,58.9,62,60.9,76,94.9,79,41.7,589,64.9,356,United States,"26,510",11.1,28%,59 : 41,Boston University,"Sociology,Medicine & Dentistry,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Geography,Other Health,History, Philosophy & Theology,Psychology,Biological Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Education,Mathematics & Statistics,Law,Chemistry,Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics",False,False,Boston,MA,02215,Suffolk,42.349581,-71.09984,2021
580,=56,University of North Carolina at Chapel Hill,70.1,580,60.6,57,63.3,66,96.3,57,42.5,557,39.7,829,United States,"30,956",8.2,8%,58 : 42,University of North Carolina at Chapel Hill,"Law,Chemistry,Communication & Media Studies,Archaeology,Education,Accounting & Finance,Biological Sciences,Psychology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Other Health,Art, Performing Arts & Design,Sociology,Languages, Literature & Linguistics,General Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Business & Management,Architecture,Geography,Sport Science,Agriculture & Forestry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Physics & Astronomy",False,False,Chapel Hill,NC,27599,Orange,35.912165,-79.050969,2021
610,61,Brown University,69.5,610,62.4,52,56.6,92,94.0,93,36.1,969,62.3,387,United States,"9,695",10.8,20%,,Brown University,"Chemistry,Archaeology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Psychology,Computer Science,Other Health,History, Philosophy & Theology,Sociology,Electrical & Electronic Engineering,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Architecture,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Education",False,False,Providence,RI,02912,Providence,41.826853,-71.402925,2021
850,=85,Emory University,63.7,850,53.9,85,41.1,208,98.7,30,46.7,424,59.2,436,United States,"12,923",4.0,20%,59 : 41,Emory University,"Law,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Biological Sciences,Business & Management,Chemistry,Computer Science,Psychology,Economics & Econometrics,Communication & Media Studies,General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics",False,False,Atlanta,GA,30322,DeKalb,33.798836,-84.325782,2021
1010,=101,Dartmouth College,61.7,1010,57.8,65,39.2,226,95.3,73,37.8,812,40.7,801,United States,"6,336",7.6,15%,48 : 52,Dartmouth College,"Physics & Astronomy,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Geography,Other Health,Art, Performing Arts & Design,Archaeology,Computer Science,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,General Engineering,Biological Sciences,Civil Engineering,Psychology,Chemistry,Politics & International Studies (incl Development Studies)",False,False,Hanover,NH,03755,Grafton,43.705524,-72.288842,2021
1050,105,Michigan State University,61.5,1050,53.1,89,55.1,99,77.9,301,36.4,940,63.6,370,United States,"44,618",16.1,15%,51 : 49,Michigan State University,"Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Chemical Engineering,Business & Management,Architecture,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Sport Science,General Engineering,Geography,Communication & Media Studies,Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,Mathematics & Statistics,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics,Other Health,Archaeology,Physics & Astronomy,Agriculture & Forestry,History, Philosophy & Theology",False,False,East Lansing,MI,48824,Ingham,42.72476,-84.473639,2021
1130,=111,Vanderbilt University,61.0,1130,48.9,110,44.5,167,94.6,83,53.5,331,43.6,737,United States,"12,139",3.0,15%,54 : 46,Vanderbilt University,"Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,General Engineering,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Law,Chemical Engineering,Mathematics & Statistics,Computer Science,Archaeology,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Sociology,Civil Engineering,Accounting & Finance,Other Health,Chemistry",False,False,Nashville,TN,37240,Davidson,36.14443,-86.804875,2021
