city,county,latitude,longitude,name,rank,scores_industry_income,scores_international_outlook,scores_overall,scores_research,scores_teaching,state,stats_female_male_ratio,stats_pc_intl_students,stats_student_staff_ratio,year
Stanford,Santa Clara,37.432974,-122.175045,Stanford University,2,90.1,79.5,94.9,96.7,92.2,CA,44 : 56,23%,7.4,2021
Cambridge,Middlesex,42.374172,-71.118234,Harvard University,3,46.8,77.7,94.8,98.8,94.4,MA,49 : 51,25%,9.3,2021
Pasadena,Los Angeles,34.139181,-118.125567,California Institute of Technology,4,92.7,83.6,94.5,96.9,92.5,CA,36 : 64,33%,6.3,2021
Cambridge,Middlesex,42.360095,-71.092115,Massachusetts Institute of Technology,5,90.4,90.0,94.4,94.4,90.7,MA,39 : 61,34%,8.4,2021
New Haven,New Haven,41.312308,-72.922511,Yale University,8,56.1,68.4,91.6,93.8,91.9,CT,50 : 50,20%,6.0,2021
Princeton,Mercer,40.347141,-74.657698,Princeton University,9,58.0,80.2,91.5,92.5,88.8,NJ,46 : 54,23%,8.0,2021
Baltimore,Baltimore,39.329808,-76.620723,Johns Hopkins University,12,93.4,73.9,89.2,91.8,81.6,MD,52 : 48,27%,4.4,2021
Philadelphia,Philadelphia,39.951002,-75.193618,University of Pennsylvania,13,77.9,66.3,88.9,89.9,85.4,PA,52 : 48,21%,6.4,2021
Ithaca,Tompkins,42.448713,-76.476535,Cornell University,19,36.3,73.7,85.3,86.7,78.8,NY,50 : 50,25%,10.2,2021
Durham,Durham,36.002344,-78.938597,Duke University,=20,99.7,65.5,84.8,80.4,80.7,NC,49 : 51,21%,4.3,2021
Ann Arbor,Washtenaw,42.27803,-83.736564,University of Michigan-Ann Arbor,22,47.2,59.6,84.0,86.9,79.0,MI,50 : 50,17%,8.3,2021
Evanston,Cook,42.058377,-87.673653,Northwestern University,24,69.9,64.5,83.6,83.6,74.9,IL,49 : 51,19%,13.0,2021
New York,New York,40.729452,-73.997264,New York University,26,37.3,69.6,81.9,80.6,76.1,NY,57 : 43,34%,8.8,2021
Pittsburgh,Allegheny,40.443598,-79.943485,Carnegie Mellon University,28,53.3,80.5,81.0,81.3,65.1,PA,43 : 57,48%,13.7,2021
Champaign,Champaign,40.108312,-88.228482,University of Illinois at Urbana-Champaign,48,49.5,55.1,72.3,79.1,62.5,IL,48 : 52,24%,17.8,2021
Madison,Dane,43.073858,-89.405356,University of Wisconsin-Madison,49,45.0,48.4,71.4,71.4,68.2,WI,,13%,9.8,2021
Saint Louis,St. Louis,38.648125,-90.311639,Washington University in St Louis,50,40.4,59.1,71.1,58.7,61.2,MO,,21%,7.5,2021
Los Angeles,Los Angeles,34.021058,-118.283858,University of Southern California,53,39.2,64.9,70.4,58.4,63.8,CA,49 : 51,23%,13.0,2021
Boston,Suffolk,42.349581,-71.09984,Boston University,=54,41.7,64.9,70.3,60.9,58.9,MA,59 : 41,28%,11.1,2021
Chapel Hill,Orange,35.912165,-79.050969,University of North Carolina at Chapel Hill,=56,42.5,39.7,70.1,63.3,60.6,NC,58 : 42,8%,8.2,2021
Providence,Providence,41.826853,-71.402925,Brown University,61,36.1,62.3,69.5,56.6,62.4,RI,,20%,10.8,2021
Atlanta,DeKalb,33.798836,-84.325782,Emory University,=85,46.7,59.2,63.7,41.1,53.9,GA,59 : 41,20%,4.0,2021
Hanover,Grafton,43.705524,-72.288842,Dartmouth College,=101,37.8,40.7,61.7,39.2,57.8,NH,48 : 52,15%,7.6,2021
East Lansing,Ingham,42.72476,-84.473639,Michigan State University,105,36.4,63.6,61.5,55.1,53.1,MI,51 : 49,15%,16.1,2021
Nashville,Davidson,36.14443,-86.804875,Vanderbilt University,=111,53.5,43.6,61.0,44.5,48.9,TN,54 : 46,15%,3.0,2021
Washington,District of Columbia,38.908809,-77.073463,Georgetown University,120,65.7,47.2,60.1,33.8,54.5,DC,55 : 45,19%,8.5,2021
Cleveland,Cuyahoga,41.504095,-81.604893,Case Western Reserve University,=121,40.7,53.5,60.0,41.0,47.3,OH,50 : 50,23%,9.1,2021
Tucson,Pima,32.232866,-110.950086,University of Arizona,=124,50.3,40.4,59.8,51.7,47.6,AZ,52 : 48,9%,18.0,2021
Houston,Harris,29.716218,-95.404977,Rice University,=124,42.9,77.3,59.8,38.4,48.0,TX,42 : 58,28%,9.2,2021
Boulder,Boulder,40.004415,-105.267061,University of Colorado Boulder,=131,42.0,47.5,58.9,45.9,43.8,CO,44 : 56,11%,16.1,2021
Rochester,Monroe,43.126397,-77.631202,University of Rochester,=147,41.4,69.8,57.8,35.2,45.4,NY,49 : 51,34%,4.9,2021
Gainesville,Alachua,29.638248,-82.361195,University of Florida,=152,56.1,40.5,57.4,60.4,54.2,FL,56 : 44,9%,16.1,2021
Medford,Middlesex,42.406004,-71.120641,Tufts University,=155,38.5,50.0,57.3,33.0,46.7,MA,55 : 45,16%,9.7,2021
Birmingham,Jefferson,33.50223,-86.80917,University of Alabama at Birmingham,169,78.6,38.4,56.2,35.5,38.4,AL,63 : 37,6%,17.3,2021
