county,median_sale_price,ppsf_year_avg,property_type,state,year
Hood River,650000.0,340.06701059616233,All Residential,Oregon,2021
Murray,185500.0,95.80110028204284,Single Family Residential,Oklahoma,2021
Stoddard,58450.0,65.76350584964096,All Residential,Missouri,2021
Kendall,526000.0,200.5451854534417,All Residential,Texas,2021
Clackamas,492485.0,262.3123108661417,Multi-Family (2-4 Unit),Oregon,2021
Grays Harbor,325000.0,204.73619833482536,All Residential,Washington,2021
Pulaski,395000.0,87.19512574856766,All Residential,Georgia,2021
Itasca,218000.0,128.81637501426744,Single Family Residential,Minnesota,2021
Shelby,194000.0,107.87376706371104,Condo/Co-op,Indiana,2021
Miami,183000.0,101.82820835921576,Single Family Residential,Ohio,2021
Klamath,163000.0,161.59667077557935,Multi-Family (2-4 Unit),Oregon,2021
Lapeer,290000.0,137.84398480290156,Multi-Family (2-4 Unit),Michigan,2021
Maries,152850.0,97.96394769130904,All Residential,Missouri,2021
Churchill,327000.0,189.7855895757622,Single Family Residential,Nevada,2021
Union,85000.0,81.04864381707579,Single Family Residential,Arkansas,2021
Anderson,230000.0,126.59404591367932,All Residential,Tennessee,2021
Paulding,115950.0,79.61354869167258,All Residential,Ohio,2021
Hudspeth,221250.0,95.9863374571974,All Residential,Texas,2021
Deschutes,615000.0,319.40765790851697,Single Family Residential,Oregon,2021
Hampshire,230000.0,200.036818527116,Condo/Co-op,Massachusetts,2021
Franklin,120000.0,107.26314147600333,Multi-Family (2-4 Unit),Kentucky,2021
Harrison,164000.0,101.63941995747004,Multi-Family (2-4 Unit),Kentucky,2021
Jones,71250.0,82.60028510728866,All Residential,Texas,2021
Fayette,125000.0,85.77284535275726,Single Family Residential,Pennsylvania,2021
Charles,390390.0,182.3515895963518,All Residential,Maryland,2021
Seminole,335000.0,168.4082814221502,All Residential,Florida,2021
Winona,191000.0,111.662056365303,Single Family Residential,Minnesota,2021
Shoshone,195000.0,202.622569007365,Single Family Residential,Idaho,2021
Rockdale,282535.0,120.40921098506507,All Residential,Georgia,2021
Randolph,92500.0,70.50128672446175,All Residential,Illinois,2021
Benton,253727.5,132.8060765951501,Multi-Family (2-4 Unit),Arkansas,2021
Douglas,146750.0,84.4912012968932,Single Family Residential,Illinois,2021
Warren,415250.0,132.88341384749177,Multi-Family (2-4 Unit),Ohio,2021
Otter Tail,235000.0,129.65831143943842,Single Family Residential,Minnesota,2021
Summit,1200000.0,596.1546144486903,Townhouse,Utah,2021
Franklin,203000.0,123.14554698437266,All Residential,Missouri,2021
Randolph,84900.0,114.47090680105686,Multi-Family (2-4 Unit),North Carolina,2021
Philadelphia,329500.0,211.4618086284808,Single Family Residential,Pennsylvania,2021
Jerome,204000.0,165.8280498174624,All Residential,Idaho,2021
Oakland,233000.0,174.11516379042897,Condo/Co-op,Michigan,2021
Stanislaus,430000.0,240.0067078566648,All Residential,California,2021
Polk,132900.0,89.36608075415398,All Residential,Arkansas,2021
Wilkes,150000.0,126.5843465591025,Single Family Residential,North Carolina,2021
Fairfield,117500.0,122.00348656450484,Multi-Family (2-4 Unit),Ohio,2021
Marion,74500.0,94.27579365079364,Single Family Residential,Mississippi,2021
Kane,282500.0,146.3452107948702,Single Family Residential,Illinois,2021
Kings,1300000.0,689.9629614083622,Multi-Family (2-4 Unit),New York,2021
Franklin City,201250.0,96.1695233100637,Single Family Residential,Virginia,2021
Ramsey,291500.0,171.99997274006358,Multi-Family (2-4 Unit),Minnesota,2021
King George,360000.0,157.52937596459623,All Residential,Virginia,2021
Marion,96750.0,76.07182652029891,All Residential,South Carolina,2021
Henry,200750.0,140.00467170727694,Single Family Residential,Tennessee,2021
Steele,244500.0,128.8485728157316,Single Family Residential,Minnesota,2021
Fresno,345000.0,183.97628545997003,Townhouse,California,2021
Portage,169900.0,116.95013296504726,All Residential,Ohio,2021
Carter,175000.0,94.79086687069729,Single Family Residential,Oklahoma,2021
Jackson,231090.0,131.2391548332138,All Residential,Missouri,2021
Warren,248400.0,168.8594122956419,Single Family Residential,Iowa,2021
Lampasas,292500.0,147.80586023283146,Single Family Residential,Texas,2021
McLean,209833.0,83.99967341461306,Single Family Residential,Illinois,2021
Newberry,547900.0,158.27157848162958,Single Family Residential,South Carolina,2021
Jackson,230000.0,131.2391548332138,Single Family Residential,Missouri,2021
Berkeley,327000.0,171.66603857010656,Single Family Residential,South Carolina,2021
